<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.MMM,15,20140501,174500,139.5000000,139.5000000,139.1500000,139.3800000,3921
US1.MMM,15,20140501,180000,139.4450000,139.6700000,139.4100000,139.4100000,6787
US1.MMM,15,20140501,181500,139.4300000,139.8900000,139.4100000,139.6800000,12079
US1.MMM,15,20140501,183000,139.6500000,140.1800000,139.5400000,140.0700000,174055
US1.MMM,15,20140501,184500,140.0800000,140.3000000,140.0500000,140.2900000,21205
US1.MMM,15,20140501,190000,140.2800000,140.5700000,140.2500000,140.5500000,25422
US1.MMM,15,20140501,191500,140.5500000,140.6900000,140.3200000,140.6500000,16173
US1.MMM,15,20140501,193000,140.6400000,140.9600000,140.6300000,140.8100000,14879
US1.MMM,15,20140501,194500,140.8100000,141.3400000,140.8100000,141.2700000,43403
US1.MMM,15,20140501,200000,141.2500000,141.4900000,141.1900000,141.2200000,24111
US1.MMM,15,20140501,201500,141.1700000,141.4000000,141.0800000,141.1700000,18493
US1.MMM,15,20140501,203000,141.1400000,141.1400000,140.9200000,141.1100000,15943
US1.MMM,15,20140501,204500,141.1000000,141.1400000,140.8600000,140.8600000,14991
US1.MMM,15,20140501,210000,140.8600000,141.0000000,140.8000000,140.9500000,11388
US1.MMM,15,20140501,211500,140.9300000,141.1700000,140.8900000,140.9600000,11850
US1.MMM,15,20140501,213000,140.9700000,141.0800000,140.8500000,140.8500000,10838
US1.MMM,15,20140501,214500,140.8100000,140.8100000,140.5500000,140.5500000,10395
US1.MMM,15,20140501,220000,140.5500000,140.6350000,140.3100000,140.3400000,8528
US1.MMM,15,20140501,221500,140.3700000,140.8000000,140.3600000,140.7400000,16695
US1.MMM,15,20140501,223000,140.7100000,140.7900000,140.6800000,140.7600000,6423
US1.MMM,15,20140501,224500,140.7600000,140.7800000,140.6100000,140.6400000,13000
US1.MMM,15,20140501,230000,140.6300000,140.6600000,140.4800000,140.6000000,16872
US1.MMM,15,20140501,231500,140.5800000,140.6600000,140.5800000,140.6600000,12284
US1.MMM,15,20140501,233000,140.7500000,140.8100000,140.6200000,140.6300000,11607
US1.MMM,15,20140501,234500,140.6300000,140.7900000,140.5900000,140.6050000,12355
US1.MMM,15,20140502,000000,140.6000000,140.9100000,140.6000000,140.7500000,15021
US1.MMM,15,20140502,174500,141.6200000,141.6300000,140.4700000,140.5200000,12545
US1.MMM,15,20140502,180000,140.6100000,140.9800000,140.5000000,140.9300000,14029
US1.MMM,15,20140502,181500,140.8800000,141.0600000,140.7300000,141.0000000,6168
US1.MMM,15,20140502,183000,140.9700000,141.0900000,140.7500000,140.7500000,4380
US1.MMM,15,20140502,184500,140.8000000,140.9000000,140.4600000,140.4600000,38143
US1.MMM,15,20140502,190000,140.4900000,140.5000000,140.1000000,140.4200000,15104
US1.MMM,15,20140502,191500,140.3200000,140.6000000,140.2700000,140.4800000,13103
US1.MMM,15,20140502,193000,140.3300000,140.5300000,140.3200000,140.3500000,6744
US1.MMM,15,20140502,194500,140.3100000,140.5200000,140.3100000,140.4400000,1600
US1.MMM,15,20140502,200000,140.4000000,140.6800000,140.4000000,140.6000000,4404
US1.MMM,15,20140502,201500,140.6100000,140.6100000,140.4500000,140.5500000,2800
US1.MMM,15,20140502,203000,140.6000000,140.6800000,140.4800000,140.5600000,3800
US1.MMM,15,20140502,204500,140.6100000,140.7100000,140.5300000,140.7100000,2200
US1.MMM,15,20140502,210000,140.6600000,141.0000000,140.6600000,140.8200000,7087
US1.MMM,15,20140502,211500,140.8500000,140.9000000,140.6700000,140.6700000,2005
US1.MMM,15,20140502,213000,140.6500000,140.6500000,140.4400000,140.4400000,3150
US1.MMM,15,20140502,214500,140.4300000,140.4300000,140.3400000,140.3900000,2200
US1.MMM,15,20140502,220000,140.4000000,140.5000000,140.3000000,140.3700000,5605
US1.MMM,15,20140502,221500,140.3100000,140.3100000,140.1200000,140.1700000,3864
US1.MMM,15,20140502,223000,140.1600000,140.3200000,140.0900000,140.1400000,2900
US1.MMM,15,20140502,224500,140.1900000,140.2300000,140.1100000,140.1700000,3921
US1.MMM,15,20140502,230000,140.1800000,140.1900000,140.0900000,140.0900000,2900
US1.MMM,15,20140502,231500,140.0800000,140.2400000,140.0800000,140.1600000,4297
US1.MMM,15,20140502,233000,140.1700000,140.3100000,140.0700000,140.1600000,16083
US1.MMM,15,20140502,234500,140.1500000,140.1500000,139.8800000,139.9600000,7979
US1.MMM,15,20140503,000000,139.9800000,140.1500000,139.9800000,140.0900000,19432
US1.MMM,15,20140505,174500,139.2100000,139.2700000,138.6500000,139.0000000,6731
US1.MMM,15,20140505,180000,138.8900000,139.1450000,138.8300000,139.0900000,8200
US1.MMM,15,20140505,181500,139.2200000,139.3700000,139.0000000,139.1500000,2951
US1.MMM,15,20140505,183000,139.1900000,139.5800000,139.1700000,139.4900000,3785
US1.MMM,15,20140505,184500,139.4800000,139.9900000,139.3700000,139.9500000,5999
US1.MMM,15,20140505,190000,139.9900000,140.0000000,139.7500000,139.8600000,4700
US1.MMM,15,20140505,191500,139.8500000,140.0700000,139.8000000,140.0700000,8049
US1.MMM,15,20140505,193000,140.1000000,140.3100000,139.9400000,139.9600000,8601
US1.MMM,15,20140505,194500,139.9550000,140.2400000,139.9550000,140.0300000,8645
US1.MMM,15,20140505,200000,140.0400000,140.2400000,140.0400000,140.2100000,4398
US1.MMM,15,20140505,201500,140.2400000,140.3200000,140.1900000,140.3100000,3800
US1.MMM,15,20140505,203000,140.3100000,140.4400000,140.3100000,140.4200000,2568
US1.MMM,15,20140505,204500,140.4100000,140.4400000,140.3800000,140.4100000,1700
US1.MMM,15,20140505,210000,140.4600000,140.4600000,140.2400000,140.2400000,1700
US1.MMM,15,20140505,211500,140.2400000,140.3100000,140.1600000,140.2200000,2650
US1.MMM,15,20140505,213000,140.2000000,140.2600000,140.1900000,140.1900000,643
US1.MMM,15,20140505,214500,140.2000000,140.3800000,140.2000000,140.3800000,1496
US1.MMM,15,20140505,220000,140.4500000,140.4500000,140.3500000,140.4300000,1350
US1.MMM,15,20140505,221500,140.4500000,140.6000000,140.4500000,140.5800000,2381
US1.MMM,15,20140505,223000,140.5800000,140.8000000,140.5700000,140.7800000,4900
US1.MMM,15,20140505,224500,140.7600000,140.7800000,140.7000000,140.7800000,2300
US1.MMM,15,20140505,230000,140.8100000,141.0400000,140.8000000,140.8200000,5649
US1.MMM,15,20140505,231500,140.8300000,140.8500000,140.7200000,140.8300000,2700
US1.MMM,15,20140505,233000,140.8500000,140.9300000,140.8300000,140.8800000,4600
US1.MMM,15,20140505,234500,140.9200000,140.9200000,140.6300000,140.6300000,3300
US1.MMM,15,20140506,000000,140.6600000,140.7400000,140.5900000,140.6000000,9573
US1.MMM,15,20140506,174500,140.1700000,140.3300000,139.7000000,139.8100000,6387
US1.MMM,15,20140506,180000,139.6600000,139.9500000,139.4600000,139.6000000,8600
US1.MMM,15,20140506,181500,139.6800000,139.7300000,139.4800000,139.5900000,7013
US1.MMM,15,20140506,183000,139.7000000,139.8000000,139.6000000,139.7100000,4500
US1.MMM,15,20140506,184500,139.7200000,139.9000000,139.7200000,139.8800000,7690
US1.MMM,15,20140506,190000,139.8600000,139.9500000,139.6700000,139.6700000,15600
US1.MMM,15,20140506,191500,139.6500000,139.8000000,139.5900000,139.8000000,4696
US1.MMM,15,20140506,193000,139.7600000,139.8100000,139.6600000,139.7300000,3500
US1.MMM,15,20140506,194500,139.7000000,139.8900000,139.7000000,139.8300000,3889
US1.MMM,15,20140506,200000,139.8300000,140.1100000,139.8300000,140.1100000,3837
US1.MMM,15,20140506,201500,140.1150000,140.1150000,139.8900000,139.8900000,1800
US1.MMM,15,20140506,203000,139.8700000,139.8700000,139.7000000,139.7300000,4594
US1.MMM,15,20140506,204500,139.7300000,139.9500000,139.7300000,139.9200000,4574
US1.MMM,15,20140506,210000,139.8900000,139.8900000,139.7750000,139.8400000,4200
US1.MMM,15,20140506,211500,139.8400000,139.8500000,139.6000000,139.6200000,4249
US1.MMM,15,20140506,213000,139.5900000,139.6600000,139.5000000,139.5000000,9974
US1.MMM,15,20140506,214500,139.4900000,139.6200000,139.4600000,139.4600000,4622
US1.MMM,15,20140506,220000,139.3800000,139.5700000,139.3000000,139.3100000,9896
US1.MMM,15,20140506,221500,139.2500000,139.4700000,139.1900000,139.4500000,7402
US1.MMM,15,20140506,223000,139.4400000,139.5500000,139.4400000,139.4700000,4300
US1.MMM,15,20140506,224500,139.4000000,139.6600000,139.3800000,139.6600000,3380
US1.MMM,15,20140506,230000,139.5900000,139.6700000,139.5500000,139.6000000,8235
US1.MMM,15,20140506,231500,139.5400000,139.6200000,139.3800000,139.6100000,4008
US1.MMM,15,20140506,233000,139.6000000,139.7400000,139.5800000,139.6000000,6287
US1.MMM,15,20140506,234500,139.5900000,139.6200000,139.4500000,139.4600000,7749
US1.MMM,15,20140507,000000,139.4600000,139.4700000,139.3000000,139.3100000,12022
US1.MMM,15,20140507,001500,139.2900000,139.2900000,139.2900000,139.2900000,143327
US1.MMM,15,20140507,174500,140.0900000,140.2050000,139.6900000,139.8800000,9620
US1.MMM,15,20140507,180000,139.9200000,140.2600000,139.7000000,139.7400000,6993
US1.MMM,15,20140507,181500,139.7300000,140.0900000,139.2100000,139.2800000,5015
US1.MMM,15,20140507,183000,139.2600000,139.7200000,139.2200000,139.7200000,3970
US1.MMM,15,20140507,184500,139.6800000,140.1200000,139.6100000,139.9700000,5524
US1.MMM,15,20140507,190000,139.9800000,140.1500000,139.9600000,139.9900000,5609
US1.MMM,15,20140507,191500,139.9600000,140.4600000,139.9000000,140.4600000,6336
US1.MMM,15,20140507,193000,140.4100000,140.4100000,140.1400000,140.3200000,4559
US1.MMM,15,20140507,194500,140.3200000,140.8050000,140.3200000,140.8050000,8849
US1.MMM,15,20140507,200000,140.8100000,140.9300000,140.7700000,140.8000000,4047
US1.MMM,15,20140507,201500,140.7950000,140.8900000,140.6900000,140.8500000,4327
US1.MMM,15,20140507,203000,140.8250000,140.9400000,140.7500000,140.7500000,5144
US1.MMM,15,20140507,204500,140.7100000,140.8300000,140.5300000,140.5400000,7968
US1.MMM,15,20140507,210000,140.5200000,140.6700000,140.3900000,140.4700000,3510
US1.MMM,15,20140507,211500,140.4200000,140.5900000,140.3100000,140.5300000,3450
US1.MMM,15,20140507,213000,140.4800000,140.7000000,140.4800000,140.5600000,7737
US1.MMM,15,20140507,214500,140.5700000,140.6900000,140.4600000,140.5300000,9983
US1.MMM,15,20140507,220000,140.5100000,140.5400000,140.2900000,140.3500000,1900
US1.MMM,15,20140507,221500,140.2200000,140.5500000,140.1800000,140.5500000,3100
US1.MMM,15,20140507,223000,140.5600000,140.6700000,140.5000000,140.6600000,5242
US1.MMM,15,20140507,224500,140.7000000,140.7800000,140.6500000,140.7800000,4693
US1.MMM,15,20140507,230000,140.7400000,140.7400000,140.6200000,140.6500000,7702
US1.MMM,15,20140507,231500,140.6400000,140.7100000,140.5900000,140.6400000,4700
US1.MMM,15,20140507,233000,140.6600000,140.7100000,140.5600000,140.6800000,5986
US1.MMM,15,20140507,234500,140.6900000,141.2500000,140.6700000,141.2000000,9944
US1.MMM,15,20140508,000000,141.2000000,141.2200000,141.0600000,141.1450000,6661
US1.MMM,15,20140508,001500,141.1400000,141.1400000,141.1400000,141.1400000,156956
US1.MMM,15,20140508,174500,141.0000000,141.3100000,141.0000000,141.1300000,5901
US1.MMM,15,20140508,180000,141.1600000,141.5500000,141.1200000,141.3300000,15168
US1.MMM,15,20140508,181500,141.4600000,141.6600000,141.4400000,141.6500000,6996
US1.MMM,15,20140508,183000,141.6600000,141.7100000,141.5400000,141.6000000,7621
US1.MMM,15,20140508,184500,141.6300000,141.7500000,141.5800000,141.6100000,5772
US1.MMM,15,20140508,190000,141.5900000,141.7200000,141.5600000,141.5800000,3568
US1.MMM,15,20140508,191500,141.5700000,141.7700000,141.5600000,141.7500000,5045
US1.MMM,15,20140508,193000,141.7900000,141.8000000,141.6900000,141.7100000,2699
US1.MMM,15,20140508,194500,141.7700000,141.9700000,141.7600000,141.9300000,10025
US1.MMM,15,20140508,200000,141.9200000,142.0900000,141.8800000,142.0300000,30320
US1.MMM,15,20140508,201500,142.0300000,142.0300000,141.8300000,141.8300000,4815
US1.MMM,15,20140508,203000,141.8000000,141.8600000,141.7300000,141.8500000,5240
US1.MMM,15,20140508,204500,141.8400000,141.8700000,141.7700000,141.7700000,3522
US1.MMM,15,20140508,210000,141.7500000,141.8000000,141.5900000,141.6500000,7106
US1.MMM,15,20140508,211500,141.6400000,141.7400000,141.5900000,141.6200000,7467
US1.MMM,15,20140508,213000,141.5500000,141.6800000,141.4300000,141.6400000,6716
US1.MMM,15,20140508,214500,141.5800000,141.7300000,141.5400000,141.5700000,4543
